Nearest Neighbors 25 6.413459777832031e-05 0.0004515647888183594
Linear SVM 25 5.8650970458984375e-05 8.749961853027344e-05
RBF SVM 25 5.5789947509765625e-05 8.821487426757812e-05
Decision Tree 25 5.0067901611328125e-05 6.175041198730469e-05
Random Forest 25 5.030632019042969e-05 0.000881195068359375
Neural Net 25 6.246566772460938e-05 0.00012683868408203125
AdaBoost 25 5.507469177246094e-05 0.004563808441162109
Naive Bayes 25 4.792213439941406e-05 9.989738464355469e-05
QDA 25 5.793571472167969e-05 0.0001163482666015625
Grad Boost 25 5.340576171875e-05 0.0001697540283203125
HistGradientBoostingClassifier 25 7.271766662597656e-05 0.00032258033752441406
Nearest Neighbors 49 8.320808410644531e-05 0.00038933753967285156
Linear SVM 49 8.034706115722656e-05 9.179115295410156e-05
RBF SVM 49 7.82012939453125e-05 8.58306884765625e-05
Decision Tree 49 7.128715515136719e-05 6.103515625e-05
Random Forest 49 7.176399230957031e-05 0.0008676052093505859
Neural Net 49 8.630752563476562e-05 0.00011467933654785156
AdaBoost 49 7.176399230957031e-05 0.003911495208740234
Naive Bayes 49 7.009506225585938e-05 0.00013518333435058594
QDA 49 7.390975952148438e-05 0.00010609626770019531
Grad Boost 49 7.462501525878906e-05 0.00016999244689941406
HistGradientBoostingClassifier 49 0.0001068115234375 0.0010263919830322266
Nearest Neighbors 81 0.00010704994201660156 0.00039577484130859375
Linear SVM 81 0.00010347366333007812 8.58306884765625e-05
RBF SVM 81 0.00010180473327636719 9.560585021972656e-05
Decision Tree 81 9.965896606445312e-05 6.461143493652344e-05
Random Forest 81 9.799003601074219e-05 0.0008831024169921875
Neural Net 81 0.00011396408081054688 0.00013375282287597656
AdaBoost 81 0.00016450881958007812 0.006391048431396484
Naive Bayes 81 0.00010418891906738281 0.00011515617370605469
QDA 81 0.00010657310485839844 0.0001277923583984375
Grad Boost 81 9.846687316894531e-05 0.00017189979553222656
HistGradientBoostingClassifier 81 0.00014281272888183594 0.000324249267578125
Nearest Neighbors 121 0.00015664100646972656 0.0005719661712646484
Linear SVM 121 0.00013446807861328125 8.606910705566406e-05
RBF SVM 121 0.0001392364501953125 0.00018453598022460938
Decision Tree 121 0.0001277923583984375 6.365776062011719e-05
Random Forest 121 0.00013184547424316406 0.0009069442749023438
Neural Net 121 0.00015020370483398438 0.00012946128845214844
AdaBoost 121 0.0001327991485595703 0.004519224166870117
Naive Bayes 121 0.00013113021850585938 0.00010132789611816406
QDA 121 0.0001392364501953125 0.00010538101196289062
Grad Boost 121 0.00014543533325195312 0.0002875328063964844
HistGradientBoostingClassifier 121 0.00020360946655273438 0.0005528926849365234
Nearest Neighbors 169 0.00017690658569335938 0.00039696693420410156
Linear SVM 169 0.00019049644470214844 0.000164031982421875
RBF SVM 169 0.0002834796905517578 0.0004115104675292969
Decision Tree 169 0.0001857280731201172 7.271766662597656e-05
Random Forest 169 0.0001709461212158203 0.0008897781372070312
Neural Net 169 0.00020956993103027344 0.00011038780212402344
AdaBoost 169 0.00017547607421875 0.00399017333984375
Naive Bayes 169 0.00016808509826660156 0.00010228157043457031
QDA 169 0.0001773834228515625 0.00010466575622558594
Grad Boost 169 0.00017023086547851562 0.0001678466796875
HistGradientBoostingClassifier 169 0.0002532005310058594 0.0005617141723632812
Nearest Neighbors 225 0.00023818016052246094 0.0005443096160888672
Linear SVM 225 0.00021910667419433594 8.940696716308594e-05
RBF SVM 225 0.00023746490478515625 0.0003192424774169922
Decision Tree 225 0.00021386146545410156 9.417533874511719e-05
Random Forest 225 0.00021529197692871094 0.0009362697601318359
Neural Net 225 0.00025534629821777344 0.00011205673217773438
AdaBoost 225 0.00021600723266601562 0.004007101058959961
Naive Bayes 225 0.0002105236053466797 9.918212890625e-05
QDA 225 0.00022149085998535156 0.00010704994201660156
Grad Boost 225 0.00021457672119140625 0.00017142295837402344
HistGradientBoostingClassifier 225 0.00032448768615722656 0.0005726814270019531
Nearest Neighbors 289 0.0002765655517578125 0.0004513263702392578
Linear SVM 289 0.0002701282501220703 9.72747802734375e-05
RBF SVM 289 0.0002810955047607422 0.0003628730773925781
Decision Tree 289 0.0002636909484863281 6.198883056640625e-05
Random Forest 289 0.0002613067626953125 0.0009024143218994141
Neural Net 289 0.00030612945556640625 0.00011968612670898438
AdaBoost 289 0.0002741813659667969 0.0039403438568115234
Naive Bayes 289 0.0002574920654296875 9.751319885253906e-05
QDA 289 0.0002853870391845703 0.00010347366333007812
Grad Boost 289 0.000263214111328125 0.00017189979553222656
HistGradientBoostingClassifier 289 0.00040268898010253906 0.0006926059722900391
Nearest Neighbors 361 0.00033473968505859375 0.0003886222839355469
Linear SVM 361 0.0003275871276855469 0.0001227855682373047
RBF SVM 361 0.00034165382385253906 0.00038623809814453125
Decision Tree 361 0.0003199577331542969 6.341934204101562e-05
Random Forest 361 0.00032067298889160156 0.0009167194366455078
Neural Net 361 0.0003666877746582031 0.00010943412780761719
AdaBoost 361 0.00033354759216308594 0.004069805145263672
Naive Bayes 361 0.0003311634063720703 0.00010085105895996094
QDA 361 0.00035858154296875 0.00011229515075683594
Grad Boost 361 0.00036215782165527344 0.0001742839813232422
HistGradientBoostingClassifier 361 0.0004906654357910156 0.0005903244018554688
Nearest Neighbors 441 0.0005979537963867188 0.0004982948303222656
Linear SVM 441 0.00043201446533203125 0.00011086463928222656
RBF SVM 441 0.0004134178161621094 0.00041675567626953125
Decision Tree 441 0.00038433074951171875 6.389617919921875e-05
Random Forest 441 0.0004200935363769531 0.0009007453918457031
